target,branch_id,file,function,line,col,side,source_line,n_decisive_pairs,decisive_pairs,involved_fuzzers,naive_resolved,naive_blocked,naive_unreached,cmplog_resolved,cmplog_blocked,cmplog_unreached,value_profile_resolved,value_profile_blocked,value_profile_unreached,value_profile_cmplog_resolved,value_profile_cmplog_blocked,value_profile_cmplog_unreached,naive_ctx_resolved,naive_ctx_blocked,naive_ctx_unreached,naive_ngram4_resolved,naive_ngram4_blocked,naive_ngram4_unreached,mopt_resolved,mopt_blocked,mopt_unreached,minimizer_resolved,minimizer_blocked,minimizer_unreached,fast_resolved,fast_blocked,fast_unreached,grimoire_resolved,grimoire_blocked,grimoire_unreached,max_prob_div,max_dur_div,max_hit_div,shape,region_id,group_size
bloaty,13,/src/bloaty/src/bloaty.cc,"bloaty::Bloaty::ScanAndRollupFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bloaty::Rollup*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*) const",1750,7,T,  if (!build_id.empty()) {,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":18.5,""hit_div"":498.0},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":20.7,""hit_div"":177.0}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,10,0,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,6,4,0,1.0,20.7,498.0,BRBR------,"/src/bloaty/src/bloaty.cc::bloaty::Bloaty::ScanAndRollupFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bloaty::Rollup*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*) const::L1750-1799",1
bloaty,57,/src/bloaty/src/elf.cc,"elf.cc:bloaty::(anonymous namespace)::ElfMachineToCapstone(unsigned short, cs_arch*, cs_mode*)",787,5,T,    case EM_X86_64:,2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":21.2,""hit_div"":56.0},{""A"":""value_profile"",""B"":""naive"",""delta"":""value_profile"",""direction"":""A>B"",""winner"":""value_profile"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":9.9,""hit_div"":7.9}]","[""cmplog"", ""naive"", ""value_profile""]",1,9,0,10,0,0,10,0,0,,,,1,9,0,4,6,0,7,3,0,7,3,0,5,5,0,,,,0.9,21.2,56.0,BRR-------,"/src/bloaty/src/elf.cc::elf.cc:bloaty::(anonymous namespace)::ElfMachineToCapstone(unsigned short, cs_arch*, cs_mode*)::L750-799",1
bloaty,141,/src/bloaty/src/range_map.cc,bloaty::RangeMap::FindContaining(unsigned long) const,59,34,T,"  if (it == mappings_.begin() || (--it, !EntryContains(it, addr))) {",2,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":8,""loser_blocked"":10,""prob_div"":0.8,""dur_div"":15.5,""hit_div"":23935.8},{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":9,""prob_div"":0.9,""dur_div"":19.8,""hit_div"":16079.9}]","[""cmplog"", ""naive"", ""value_profile"", ""value_profile_cmplog""]",0,10,0,8,2,0,1,9,0,10,0,0,,,,,,,,,,0,10,0,3,7,0,8,2,0,0.9,19.8,23935.8,BRBR------,/src/bloaty/src/range_map.cc::bloaty::RangeMap::FindContaining(unsigned long) const::L50-99,1
bloaty,7,/src/bloaty/src/bloaty.cc,"bloaty::RangeSink::IsVerboseForVMRange(unsigned long, unsigned long)",1103,7,T,  if (vmsize == RangeMap::kUnknownSize) {,1,"[{""A"":""value_profile_cmplog"",""B"":""value_profile"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""value_profile_cmplog"",""loser"":""value_profile"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":19.8,""hit_div"":22887.0}]","[""value_profile"", ""value_profile_cmplog""]",0,10,0,7,3,0,0,10,0,10,0,0,,,,,,,,,,,,,,,,4,6,0,1.0,19.8,22887.0,--BR------,"/src/bloaty/src/bloaty.cc::bloaty::RangeSink::IsVerboseForVMRange(unsigned long, unsigned long)::L1100-1149",1
bloaty,10,/src/bloaty/src/bloaty.cc,"bloaty::RangeSink::AddRange(char const*, std::basic_string_view<char, std::char_traits<char> >, unsigned long, unsigned long, unsigned long, unsigned long)",1331,9,T,"    if (!translator_->vm_map.CoversRange(vmaddr, vmsize) ||",1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":18.7,""hit_div"":26.1}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,4,6,0,8,2,0,,,,2,8,0,,,,4,5,1,2,8,0,7,3,0,1.0,18.7,26.1,BR--------,"/src/bloaty/src/bloaty.cc::bloaty::RangeSink::AddRange(char const*, std::basic_string_view<char, std::char_traits<char> >, unsigned long, unsigned long, unsigned long, unsigned long)::L1300-1349",1
bloaty,59,/src/bloaty/src/elf.cc,"elf.cc:bloaty::(anonymous namespace)::ElfMachineToCapstone(unsigned short, cs_arch*, cs_mode*)",798,5,T,    case EM_AARCH64:,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":22.1,""hit_div"":32.7}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,5,5,0,10,0,0,1,9,0,2,8,0,,,,5,5,0,4,6,0,,,,1.0,22.1,32.7,BR--------,"/src/bloaty/src/elf.cc::elf.cc:bloaty::(anonymous namespace)::ElfMachineToCapstone(unsigned short, cs_arch*, cs_mode*)::L750-799",1
bloaty,63,/src/bloaty/src/elf.cc,"elf.cc:bloaty::(anonymous namespace)::ReadELFSymbols(bloaty::InputFile const&, bloaty::RangeSink*, std::map<std::basic_string_view<char, std::char_traits<char> >, std::pair<unsigned long, unsigned long>, std::less<std::basic_string_view<char, std::char_traits<char> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::pair<unsigned long, unsigned long> > > >*, bool)::$_0::operator()(bloaty::(anonymous namespace)::ElfFile const&, std::basic_string_view<char, std::char_traits<char> >, unsigned long) const",856,33,T,        for (Elf64_Xword i = 1; i < elf.section_count(); i++) {,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":23.3,""hit_div"":3537300.0}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,6,4,0,10,0,0,1,9,0,2,8,0,4,6,0,5,5,0,5,5,0,,,,1.0,23.3,3537300.0,BR--------,"/src/bloaty/src/elf.cc::elf.cc:bloaty::(anonymous namespace)::ReadELFSymbols(bloaty::InputFile const&, bloaty::RangeSink*, std::map<std::basic_string_view<char, std::char_traits<char> >, std::pair<unsigned long, unsigned long>, std::less<std::basic_string_view<char, std::char_traits<char> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> > const, std::pair<unsigned long, unsigned long> > > >*, bool)::$_0::operator()(bloaty::(anonymous namespace)::ElfFile const&, std::basic_string_view<char, std::char_traits<char> >, unsigned long) const::L850-899",1
bloaty,77,/src/bloaty/src/elf.cc,"elf.cc:bloaty::(anonymous namespace)::ReadELFTables(bloaty::InputFile const&, bloaty::RangeSink*)::$_0::operator()(bloaty::(anonymous namespace)::ElfFile const&, std::basic_string_view<char, std::char_traits<char> >, unsigned int) const",991,40,T,               for (Elf64_Xword i = 1; i < elf.section_count(); i++) {,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":23.1,""hit_div"":636560.0}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,6,4,0,10,0,0,1,9,0,2,8,0,4,6,0,5,5,0,5,5,0,,,,1.0,23.1,636560.0,BR--------,"/src/bloaty/src/elf.cc::elf.cc:bloaty::(anonymous namespace)::ReadELFTables(bloaty::InputFile const&, bloaty::RangeSink*)::$_0::operator()(bloaty::(anonymous namespace)::ElfFile const&, std::basic_string_view<char, std::char_traits<char> >, unsigned int) const::L950-999",1
bloaty,81,/src/bloaty/src/elf.cc,"elf.cc:bloaty::(anonymous namespace)::DoReadELFSections(bloaty::RangeSink*, bloaty::(anonymous namespace)::ReportSectionsBy)::$_0::operator()(bloaty::(anonymous namespace)::ElfFile const&, std::basic_string_view<char, std::char_traits<char> >, unsigned int) const",1033,33,T,        for (Elf64_Xword i = 1; i < elf.section_count(); i++) {,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":23.3,""hit_div"":1775700.0}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,6,4,0,10,0,0,1,9,0,2,8,0,4,6,0,5,5,0,6,4,0,,,,1.0,23.3,1775700.0,BR--------,"/src/bloaty/src/elf.cc::elf.cc:bloaty::(anonymous namespace)::DoReadELFSections(bloaty::RangeSink*, bloaty::(anonymous namespace)::ReportSectionsBy)::$_0::operator()(bloaty::(anonymous namespace)::ElfFile const&, std::basic_string_view<char, std::char_traits<char> >, unsigned int) const::L1000-1049",1
bloaty,87,/src/bloaty/src/elf.cc,"elf.cc:bloaty::(anonymous namespace)::ReadDWARFSections(bloaty::InputFile const&, bloaty::dwarf::File*, bloaty::RangeSink*)",1193,27,T,  for (Elf64_Xword i = 1; i < elf.section_count(); i++) {,1,"[{""A"":""cmplog"",""B"":""naive"",""delta"":""I2S"",""direction"":""A>B"",""winner"":""cmplog"",""loser"":""naive"",""winner_resolved"":10,""loser_blocked"":10,""prob_div"":1.0,""dur_div"":23.0,""hit_div"":1045700.0}]","[""cmplog"", ""naive""]",0,10,0,10,0,0,6,4,0,10,0,0,1,9,0,2,8,0,4,6,0,5,5,0,5,5,0,,,,1.0,23.0,1045700.0,BR--------,"/src/bloaty/src/elf.cc::elf.cc:bloaty::(anonymous namespace)::ReadDWARFSections(bloaty::InputFile const&, bloaty::dwarf::File*, bloaty::RangeSink*)::L1150-1199",1
